game_id,neutral_court
400504457,true
400498717,false
400499541,false
400502511,false
400498494,false
400504480,true
400520091,true
400504486,false
400502737,false
400504499,false
400504500,false
400504509,true
400504510,false
400504515,false
400504527,false
400504529,false
400504532,false
400504533,false
400504542,false
400504545,false
400504549,false
400504553,false
400504558,false
400504564,false
400504570,false
400504574,false
400504576,false
400504581,false
400504585,false
400504591,false
400504601,false
400544171,true
400546962,false
