game_id,neutral_court
400498439,false
400504460,false
400503074,false
400504471,false
400503894,false
400504477,true
400519986,true
400520095,true
400504487,false
400500019,false
400496912,true
400504503,false
400502756,false
400504510,false
400504516,false
400504524,false
400504528,false
400504531,false
400504538,false
400504543,false
400504552,false
400504556,false
400504563,false
400504567,false
400504572,false
400504577,false
400504580,false
400504585,false
400504590,false
400504593,false
400504597,false
400544172,true
400546437,true
400546939,true
